id,type_desc,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
159899,BusNo,0:23:01,18.24747444,04-11-18 20:33,14.174515,99.122703,04-11-18 20:57,14.116977,99.187271
159899,BusNo,0:15:00,6.842673982,04-11-18 8:46,14.167299,99.100227,04-11-18 9:01,14.173437,99.129508
159899,BusNo,1:02:33,41.94722709,04-11-18 6:08,14.091538,99.418182,04-11-18 7:10,14.157849,99.102554
159946,BusNo,0:53:01,56.46594122,04-11-18 7:20,14.200687,99.106414,04-11-18 8:13,14.515409,99.173942
159946,BusNo,1:29:00,105.7927697,04-11-18 5:30,14.632722,98.565155,04-11-18 6:59,14.219765,99.074378
164702,BusNo,0:48:09,43.7534895,04-11-18 9:53,14.04276,99.5057,04-11-18 10:41,14.110474,99.15439
164944,BusNo,1:15:37,78.58865085,04-11-18 8:32,13.966427,99.727936,04-11-18 9:47,14.219093,99.09878
165541,BusNo,1:39:45,98.41417008,04-11-18 10:27,14.777635,98.60459,04-11-18 12:07,14.106807,99.16456
165876,BusNo,1:02:02,53.99740927,04-11-18 7:58,14.28163,99.00197,04-11-18 9:00,14.37856,99.14175
165876,BusNo,0:59:58,44.12153184,04-11-18 12:01,14.375571,99.143684,04-11-18 13:01,14.219288,99.0632
165876,BusNo,0:13:34,6.083873049,04-11-18 13:58,14.217608,99.0613,04-11-18 14:12,14.240432,99.01704
165876,BusNo,0:34:57,17.80084024,04-11-18 15:10,14.240245,99.01723,04-11-18 15:45,14.28169,99.00075
165911,BusNo,0:43:56,54.56746773,04-11-18 15:57,14.032037,99.52585,04-11-18 16:41,14.21144,99.08689
165911,BusNo,0:18:53,13.20747039,04-11-18 16:56,14.211456,99.08652,04-11-18 17:15,14.281088,99.00078
169205,BusNo,1:05:06,20.84606569,04-11-18 14:42,14.115808,99.13696,04-11-18 15:47,14.038188,99.25326
169205,BusNo,0:30:23,30.98994554,04-11-18 12:36,14.343115,98.96952,04-11-18 13:06,14.133908,99.15647
169205,BusNo,0:54:20,53.78406832,04-11-18 8:37,14.042053,99.50524,04-11-18 9:32,14.229348,99.065025
183132,BusNo,0:45:57,49.21045502,04-11-18 9:26,13.980678,99.626457,04-11-18 10:12,14.10855,99.214249
185445,BusNo,0:16:00,17.88169478,04-11-18 11:05,14.110587,99.210035,04-11-18 11:21,14.211798,99.086337
185818,BusNo,1:39:57,104.9269967,04-11-18 12:23,14.979941,98.631973,04-11-18 14:03,14.235475,99.060448
186491,BusNo,2:12:05,128.8990329,04-11-18 14:28,15.021365,98.587921,04-11-18 16:40,14.128845,99.16584
187725,BusNo,0:30:00,27.49707196,04-11-18 12:51,14.424216,99.135429,04-11-18 13:21,14.232447,99.238747
187776,BusNo,0:27:54,1.895438154,04-11-18 8:33,14.436213,99.130836,04-11-18 9:01,14.42595,99.132263
188050,BusNo,0:11:00,7.978560159,04-11-18 12:31,14.38221,99.137001,04-11-18 12:42,14.336802,99.194237
188050,BusNo,1:10:41,52.28595862,04-11-18 8:37,14.284915,99.001717,04-11-18 9:48,14.385468,99.142906
188547,BusNo,0:58:02,44.00589193,04-11-18 10:52,14.042889,99.505722,04-11-18 11:51,14.107079,99.163406
188609,BusNo,0:39:00,34.89194115,04-11-18 8:41,14.066573,99.490028,04-11-18 9:20,14.116611,99.187637
188609,BusNo,0:31:00,21.92107048,04-11-18 13:40,14.110925,99.181419,04-11-18 14:11,14.24707,99.047813
188616,BusNo,0:35:00,32.1167455,04-11-18 8:40,14.065102,99.491112,04-11-18 9:15,14.110407,99.21051
188616,BusNo,0:42:00,21.90526138,04-11-18 13:30,14.10946,99.181351,04-11-18 14:12,14.24678,99.048233
188900,BusNo,1:02:19,51.19973788,04-11-18 10:55,14.06059,99.663376,04-11-18 11:57,14.039415,99.247391
188900,BusNo,0:32:07,34.43881709,04-11-18 12:39,14.041005,99.243591,04-11-18 13:11,14.234212,99.061562
189069,BusNo,0:41:20,50.35176962,04-11-18 18:21,14.062538,99.493217,04-11-18 19:02,14.213636,99.083107
189069,BusNo,2:52:01,155.2518185,04-11-18 9:23,13.52311,99.970207,04-11-18 12:15,14.23349,99.065765
189248,BusNo,1:40:00,105.5181371,04-11-18 12:23,14.979439,98.632515,04-11-18 14:03,14.235097,99.06086
189357,BusNo,0:40:00,34.55457533,04-11-18 8:40,14.0649,99.491226,04-11-18 9:20,14.11716,99.186897
189357,BusNo,0:44:36,21.82992717,04-11-18 13:27,14.10845,99.181084,04-11-18 14:12,14.246576,99.048393
189654,BusNo,0:50:00,27.51709219,04-11-18 10:45,14.384165,99.136833,04-11-18 11:35,14.226648,99.240082
190123,BusNo,2:21:00,148.9099008,04-11-18 4:05,13.239179,99.81147,04-11-18 6:26,14.089831,99.294403
190123,BusNo,0:22:00,28.83656835,04-11-18 6:42,14.089675,99.280434,04-11-18 7:04,14.22808,99.066063
190123,BusNo,0:48:00,56.39157834,04-11-18 13:16,14.587508,98.727219,04-11-18 14:04,14.235003,99.060806
191039,BusNo,2:16:07,93.41737043,04-11-18 17:22,13.969606,99.704567,04-11-18 19:38,14.274484,99.019135
191303,BusNo,1:03:27,44.25202868,04-11-18 10:23,14.038565,99.51828,04-11-18 11:26,14.107925,99.156693
192217,BusNo,0:17:00,17.38954463,04-11-18 13:44,14.359208,99.165253,04-11-18 14:01,14.226155,99.239944
